URL,Creator's Tag,Black nav text?,Anime,Song,Artist
https://www.instagram.com/p/CGxbsuJHyjs/,lntentionally,n,Kizumonogatari,Paris,Else
https://www.instagram.com/p/CGULmyXHQ3g/,tri.stful,n,Parasyte,I Don't Want to Set the World on Fire,The Ink Spots
https://www.instagram.com/p/CG5sr8RgxXL/,dazedlofi,y,Cowboy Bebop,Aglow,Karamel Kel
https://www.instagram.com/p/CHAs-1HDeWM/,paletteism,n,Kaguya-sama: Love is War,The Last Cherry Blossom,RudeManners
https://www.instagram.com/p/CHBfmCGlbBn/,llamxi,n,Darling in the Franxx,Estrelar,Marcos Valle
https://www.instagram.com/p/CHDLHNTA0jW/,cutchlofi,n,A Silent Voice,After Glow,Attila Zoller
https://www.instagram.com/p/CHDkWafqxlC/,anbuace,y,Ocean Waves,Closing My Eyes (Lofi Remix),Potsu
https://www.instagram.com/p/CG0iyMqgMxm/,loversfest,y,"Love, Chunibyo & Other Delusions",With You,Nawhij
https://www.instagram.com/p/CHGr1oXAwK5/,loversfest,n,"Love, Chunibyo & Other Delusions",Sofia (slowed),Clairo
https://www.instagram.com/p/CGk1EKYBgvH/,Idealisms,n,The End of Evangelion,Goodbye to a World,Porter Robinson
https://www.instagram.com/p/CHJJ7rPBFIl/,Idealisms,y,Akame Ga Kill,Divine,Blvk
https://www.instagram.com/p/CE4sOp9pzT5/,Idealisms,n,The Girl Who Leapt Through Time,Crystal Dolphin,Engelwood
https://www.instagram.com/p/CDUfNESAzMU/,Idealisms,n,Tokyo Ghoul,Space Song,Beach House
https://www.instagram.com/p/CDKB5rDg0vT/,Idealisms,y,The End of Evangelion,Let it Happen (slowed),Tame Impala
https://www.instagram.com/p/CHGe5R5Kp3e/,mortysleeps,y,Akame Ga Kill,3am,Krylic
https://www.instagram.com/p/CHK58qwA6Lh/,izanamiiiii_,n,"Neon Genesis Evangelion, Akira, Ghost in The Shell",Little Dark Age,MGMT
https://www.instagram.com/p/CHQOiyfAHOG/,lofihachi,n,Hyouka,Walk With Me (slowed),tymu
https://www.instagram.com/p/CHQf3z5nVex/,luvrskyo,n,Howl's Moving Castle,Woodland,The Paper Kites
